2026-08-18 12:22:09.6|Info|DiskScanService|Scanning disk for Despicable Me
2026-08-18 12:22:09.6|Info|DiskScanService|Completed scanning disk for Despicable Me
2026-08-18 12:22:09.6|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:09.6|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:09.6|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:09.6|Info|ExistingExtraFileService|Found 2 possible extra files, imported 2 files.
2026-08-18 12:22:09.6|Info|DiskScanService|Scanning disk for Despicable Me 2
2026-08-18 12:22:09.6|Info|DiskScanService|Completed scanning disk for Despicable Me 2
2026-08-18 12:22:09.6|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:09.6|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:09.6|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:09.6|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:09.6|Info|DiskScanService|Scanning disk for Despicable Me 3
2026-08-18 12:22:09.6|Info|DiskScanService|Completed scanning disk for Despicable Me 3
2026-08-18 12:22:09.6|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:09.6|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:09.6|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:09.6|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:09.7|Info|DiskScanService|Scanning disk for Despicable Me 4
2026-08-18 12:22:09.7|Info|DiskScanService|Completed scanning disk for Despicable Me 4
2026-08-18 12:22:09.7|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:09.7|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:09.7|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:09.7|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:09.7|Info|DiskScanService|Scanning disk for The Hunger Games
2026-08-18 12:22:09.7|Info|DiskScanService|Completed scanning disk for The Hunger Games
2026-08-18 12:22:09.7|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:09.7|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:09.7|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:09.7|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
